taxonID,isMarine,isFreshwater,isTerrestrial
alien_species_cyprus:taxon:0011a330652fe0d2f1a1824432e2b3dc,FALSE,FALSE,TRUE
alien_species_cyprus:taxon:002d937e875e8cb87037a6234976409f,TRUE,FALSE,FALSE
alien_species_cyprus:taxon:00464d8f171c659bad12fe7126006469,FALSE,FALSE,TRUE
alien_species_cyprus:taxon:006ac2ce2ead9cb458e9674d45a75aa4,FALSE,FALSE,TRUE
alien_species_cyprus:taxon:00a10400d52bebf8c6b7170ccbe39e5e,FALSE,FALSE,TRUE
alien_species_cyprus:taxon:00a41a56f126263163d11a567b893ba1,FALSE,FALSE,TRUE
alien_species_cyprus:taxon:00ca213d7922fe91be5a4754dbbed56f,FALSE,FALSE,TRUE
alien_species_cyprus:taxon:00fbdaabeb26b66a522a8c88bf80dc70,FALSE,FALSE,TRUE
alien_species_cyprus:taxon:0115e2239a80c4cb7c83b61e0557433a,TRUE,FALSE,FALSE
alien_species_cyprus:taxon:01175b9a44bc8d621df87864b219a605,TRUE,FALSE,FALSE
alien_species_cyprus:taxon:0150bdc48da1e78003296f5c4e5cbc8a,FALSE,FALSE,TRUE
alien_species_cyprus:taxon:0196e8ecaf285eff01936967f91d906f,FALSE,FALSE,TRUE
alien_species_cyprus:taxon:01a1917f68a554dcec36bb8d43ed6532,FALSE,FALSE,TRUE
alien_species_cyprus:taxon:020030b75e13adb53f85b4d7f976b15d,FALSE,FALSE,TRUE
alien_species_cyprus:taxon:0260bef7578d55a291053f3278c4317d,TRUE,FALSE,FALSE
alien_species_cyprus:taxon:0265aaa7dd207f7a31780fd9a3f2a704,FALSE,FALSE,TRUE
alien_species_cyprus:taxon:027044202785eb026e2db53a160b11ba,FALSE,FALSE,TRUE
alien_species_cyprus:taxon:027abdd13b0005431f1f60da85aba3e2,FALSE,FALSE,TRUE
alien_species_cyprus:taxon:02916f3769de32bc11b7ea84a71cb510,FALSE,FALSE,TRUE
alien_species_cyprus:taxon:02dcb067851feb6e92c50839406cc2ce,FALSE,FALSE,TRUE
alien_species_cyprus:taxon:02ddf588319e72c43ac914fe0cfc871b,FALSE,FALSE,TRUE
